company_role_key,company_role_name,company_key,is_default
k6test-buyer-001,K6 Buyer Unlimited 001,k6test-company-001,true
k6test-buyer-002,K6 Buyer Unlimited 002,k6test-company-002,true
k6test-buyer-003,K6 Buyer Unlimited 003,k6test-company-003,true
k6test-buyer-004,K6 Buyer Unlimited 004,k6test-company-004,true
k6test-buyer-005,K6 Buyer Unlimited 005,k6test-company-005,true
k6test-buyer-006,K6 Buyer Unlimited 006,k6test-company-006,true
k6test-buyer-007,K6 Buyer Unlimited 007,k6test-company-007,true
k6test-buyer-008,K6 Buyer Unlimited 008,k6test-company-008,true
k6test-buyer-009,K6 Buyer Unlimited 009,k6test-company-009,true
k6test-buyer-010,K6 Buyer Unlimited 010,k6test-company-010,true
k6test-buyer-011,K6 Buyer Unlimited 011,k6test-company-011,true
k6test-buyer-012,K6 Buyer Unlimited 012,k6test-company-012,true
k6test-buyer-013,K6 Buyer Unlimited 013,k6test-company-013,true
k6test-buyer-014,K6 Buyer Unlimited 014,k6test-company-014,true
k6test-buyer-015,K6 Buyer Unlimited 015,k6test-company-015,true
k6test-buyer-016,K6 Buyer Unlimited 016,k6test-company-016,true
k6test-buyer-017,K6 Buyer Unlimited 017,k6test-company-017,true
k6test-buyer-018,K6 Buyer Unlimited 018,k6test-company-018,true
k6test-buyer-019,K6 Buyer Unlimited 019,k6test-company-019,true
k6test-buyer-020,K6 Buyer Unlimited 020,k6test-company-020,true
k6test-buyer-021,K6 Buyer Unlimited 021,k6test-company-021,true
k6test-buyer-022,K6 Buyer Unlimited 022,k6test-company-022,true
k6test-buyer-023,K6 Buyer Unlimited 023,k6test-company-023,true
k6test-buyer-024,K6 Buyer Unlimited 024,k6test-company-024,true
k6test-buyer-025,K6 Buyer Unlimited 025,k6test-company-025,true
k6test-buyer-026,K6 Buyer Unlimited 026,k6test-company-026,true
k6test-buyer-027,K6 Buyer Unlimited 027,k6test-company-027,true
k6test-buyer-028,K6 Buyer Unlimited 028,k6test-company-028,true
k6test-buyer-029,K6 Buyer Unlimited 029,k6test-company-029,true
k6test-buyer-030,K6 Buyer Unlimited 030,k6test-company-030,true
k6test-buyer-031,K6 Buyer Unlimited 031,k6test-company-031,true
k6test-buyer-032,K6 Buyer Unlimited 032,k6test-company-032,true
k6test-buyer-033,K6 Buyer Unlimited 033,k6test-company-033,true
k6test-buyer-034,K6 Buyer Unlimited 034,k6test-company-034,true
k6test-buyer-035,K6 Buyer Unlimited 035,k6test-company-035,true
k6test-buyer-036,K6 Buyer Unlimited 036,k6test-company-036,true
k6test-buyer-037,K6 Buyer Unlimited 037,k6test-company-037,true
k6test-buyer-038,K6 Buyer Unlimited 038,k6test-company-038,true
k6test-buyer-039,K6 Buyer Unlimited 039,k6test-company-039,true
k6test-buyer-040,K6 Buyer Unlimited 040,k6test-company-040,true
k6test-buyer-041,K6 Buyer Unlimited 041,k6test-company-041,true
k6test-buyer-042,K6 Buyer Unlimited 042,k6test-company-042,true
k6test-buyer-043,K6 Buyer Unlimited 043,k6test-company-043,true
k6test-buyer-044,K6 Buyer Unlimited 044,k6test-company-044,true
k6test-buyer-045,K6 Buyer Unlimited 045,k6test-company-045,true
k6test-buyer-046,K6 Buyer Unlimited 046,k6test-company-046,true
k6test-buyer-047,K6 Buyer Unlimited 047,k6test-company-047,true
k6test-buyer-048,K6 Buyer Unlimited 048,k6test-company-048,true
k6test-buyer-049,K6 Buyer Unlimited 049,k6test-company-049,true
k6test-buyer-050,K6 Buyer Unlimited 050,k6test-company-050,true
