company_role_key,permission_key,configuration
k6test-buyer-001,AddCartItemPermissionPlugin,
k6test-buyer-001,ChangeCartItemPermissionPlugin,
k6test-buyer-001,RemoveCartItemPermissionPlugin,
k6test-buyer-001,SeeCompanyMenuPermissionPlugin,
k6test-buyer-001,SeeCompanyUsersPermissionPlugin,
k6test-buyer-001,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-001,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-001,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-002,AddCartItemPermissionPlugin,
k6test-buyer-002,ChangeCartItemPermissionPlugin,
k6test-buyer-002,RemoveCartItemPermissionPlugin,
k6test-buyer-002,SeeCompanyMenuPermissionPlugin,
k6test-buyer-002,SeeCompanyUsersPermissionPlugin,
k6test-buyer-002,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-002,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-002,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-003,AddCartItemPermissionPlugin,
k6test-buyer-003,ChangeCartItemPermissionPlugin,
k6test-buyer-003,RemoveCartItemPermissionPlugin,
k6test-buyer-003,SeeCompanyMenuPermissionPlugin,
k6test-buyer-003,SeeCompanyUsersPermissionPlugin,
k6test-buyer-003,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-003,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-003,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-004,AddCartItemPermissionPlugin,
k6test-buyer-004,ChangeCartItemPermissionPlugin,
k6test-buyer-004,RemoveCartItemPermissionPlugin,
k6test-buyer-004,SeeCompanyMenuPermissionPlugin,
k6test-buyer-004,SeeCompanyUsersPermissionPlugin,
k6test-buyer-004,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-004,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-004,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-005,AddCartItemPermissionPlugin,
k6test-buyer-005,ChangeCartItemPermissionPlugin,
k6test-buyer-005,RemoveCartItemPermissionPlugin,
k6test-buyer-005,SeeCompanyMenuPermissionPlugin,
k6test-buyer-005,SeeCompanyUsersPermissionPlugin,
k6test-buyer-005,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-005,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-005,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-006,AddCartItemPermissionPlugin,
k6test-buyer-006,ChangeCartItemPermissionPlugin,
k6test-buyer-006,RemoveCartItemPermissionPlugin,
