company_user_key,customer_reference,company_key,is_default
k6test-cu-1,K6--00001,k6test-company-001,true
k6test-cu-2,K6--00002,k6test-company-002,true
k6test-cu-3,K6--00003,k6test-company-003,true
k6test-cu-4,K6--00004,k6test-company-004,true
k6test-cu-5,K6--00005,k6test-company-005,true
k6test-cu-6,K6--00006,k6test-company-006,true
k6test-cu-7,K6--00007,k6test-company-007,true
k6test-cu-8,K6--00008,k6test-company-008,true
k6test-cu-9,K6--00009,k6test-company-009,true
k6test-cu-10,K6--00010,k6test-company-010,true
k6test-cu-11,K6--00011,k6test-company-011,true
k6test-cu-12,K6--00012,k6test-company-012,true
k6test-cu-13,K6--00013,k6test-company-013,true
k6test-cu-14,K6--00014,k6test-company-014,true
k6test-cu-15,K6--00015,k6test-company-015,true
k6test-cu-16,K6--00016,k6test-company-016,true
k6test-cu-17,K6--00017,k6test-company-017,true
k6test-cu-18,K6--00018,k6test-company-018,true
k6test-cu-19,K6--00019,k6test-company-019,true
k6test-cu-20,K6--00020,k6test-company-020,true
k6test-cu-21,K6--00021,k6test-company-021,true
k6test-cu-22,K6--00022,k6test-company-022,true
k6test-cu-23,K6--00023,k6test-company-023,true
k6test-cu-24,K6--00024,k6test-company-024,true
k6test-cu-25,K6--00025,k6test-company-025,true
k6test-cu-26,K6--00026,k6test-company-026,true
k6test-cu-27,K6--00027,k6test-company-027,true
k6test-cu-28,K6--00028,k6test-company-028,true
k6test-cu-29,K6--00029,k6test-company-029,true
k6test-cu-30,K6--00030,k6test-company-030,true
k6test-cu-31,K6--00031,k6test-company-031,true
k6test-cu-32,K6--00032,k6test-company-032,true
k6test-cu-33,K6--00033,k6test-company-033,true
k6test-cu-34,K6--00034,k6test-company-034,true
k6test-cu-35,K6--00035,k6test-company-035,true
k6test-cu-36,K6--00036,k6test-company-036,true
k6test-cu-37,K6--00037,k6test-company-037,true
k6test-cu-38,K6--00038,k6test-company-038,true
k6test-cu-39,K6--00039,k6test-company-039,true
k6test-cu-40,K6--00040,k6test-company-040,true
k6test-cu-41,K6--00041,k6test-company-041,true
k6test-cu-42,K6--00042,k6test-company-042,true
